query_categorisation,LLM,category,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
prompt length,Gemma,short prompts,28.1,25.57,47.35,12.37,12.44,12.38,12.16,12.7,12.4,12.9,12.64
prompt length,Gemma,long prompts,28.14,26.43,43.88,12.3,12.41,12.52,12.03,12.7,12.32,13.1,12.65
prompt length,GPT,short prompts,30.23,26.83,42.87,12.36,12.42,12.47,12.12,12.85,12.41,12.81,12.59
prompt length,GPT,long prompts,29.5,26.77,44.91,12.27,12.42,12.42,12.14,12.8,12.44,12.96,12.57
prompt sentiment,Gemma,positive prompts,29.99,24.19,44.44,12.4,12.46,12.56,12.16,12.77,12.36,12.68,12.81
prompt sentiment,Gemma,negative prompts,28.02,26.44,46.5,12.25,12.35,12.17,12.2,12.73,12.25,13.26,12.67
prompt sentiment,Gemma,neutral prompts,28.11,26.05,45.61,12.34,12.44,12.44,12.1,12.69,12.39,13.03,12.6
prompt sentiment,GPT,positive prompts,33.07,24.06,40.73,12.22,12.33,12.42,11.97,12.77,12.41,12.88,12.69
prompt sentiment,GPT,negative prompts,29.98,28.52,42.08,12.17,12.22,12.13,12.14,12.83,12.48,13.27,12.61
prompt sentiment,GPT,neutral prompts,29.32,26.96,44.54,12.37,12.45,12.47,12.14,12.82,12.43,12.78,12.55
search type,Gemma,multisteps search,29.05,27.04,42.35,12.27,12.47,12.48,12.05,12.62,12.4,13.1,12.6
search type,Gemma,fact search,26.86,26.25,45.61,12.4,12.44,12.41,12.14,12.71,12.39,12.82,12.64
search type,Gemma,opensearch search,28.62,22.88,47.07,12.41,12.5,12.59,11.91,12.49,12.31,13.07,12.53
search type,Gemma,unknown search,30.98,26.89,42.12,12.58,12.58,12.46,12.27,12.47,12.39,12.86,12.37
search type,Gemma,infosearch search,27.8,20.72,51.39,12.25,12.33,12.16,12.18,12.79,12.26,13.42,12.69
search type,GPT,multisteps search,29.29,28.53,41.35,12.25,12.53,12.4,12.08,12.59,12.44,12.88,12.57
search type,GPT,fact search,29.21,28.62,42.87,12.37,12.43,12.52,12.15,12.88,12.41,12.72,12.52
search type,GPT,opensearch search,30.56,25.99,43.58,12.37,12.39,12.62,11.83,12.62,12.37,13.13,12.61
search type,GPT,unknown search,39.98,19.24,40.78,12.52,12.7,12.31,11.94,12.24,12.22,13.56,12.5
search type,GPT,infosearch search,30.34,21.91,47.54,12.16,12.24,12.1,12.28,12.86,12.53,13.21,12.61
